================ Training Loss (Mon May 27 10:09:40 2019) ================
(epoch: 37, iters: 100, time: 0.304, data: 0.265) D_A: 0.699 G_A: 0.398 cycle_A: 1.537 idt_A: 0.557 D_B: 0.657 G_B: 0.784 cycle_B: 1.205 idt_B: 0.922 
(epoch: 37, iters: 200, time: 0.296, data: 0.002) D_A: 0.630 G_A: 1.895 cycle_A: 1.095 idt_A: 0.713 D_B: 0.521 G_B: 0.971 cycle_B: 1.029 idt_B: 0.644 
(epoch: 38, iters: 100, time: 0.305, data: 0.278) D_A: 1.129 G_A: 1.140 cycle_A: 2.688 idt_A: 1.104 D_B: 0.481 G_B: 0.392 cycle_B: 2.099 idt_B: 1.477 
(epoch: 38, iters: 200, time: 2.933, data: 0.002) D_A: 0.803 G_A: 1.273 cycle_A: 2.182 idt_A: 0.604 D_B: 0.624 G_B: 0.887 cycle_B: 1.545 idt_B: 0.993 
(epoch: 39, iters: 100, time: 0.304, data: 0.280) D_A: 0.356 G_A: 0.970 cycle_A: 1.564 idt_A: 0.827 D_B: 0.729 G_B: 1.000 cycle_B: 1.464 idt_B: 0.973 
(epoch: 39, iters: 200, time: 0.300, data: 0.002) D_A: 1.351 G_A: 0.513 cycle_A: 1.910 idt_A: 0.622 D_B: 0.640 G_B: 0.563 cycle_B: 1.273 idt_B: 0.870 
(epoch: 40, iters: 100, time: 0.298, data: 0.282) D_A: 0.165 G_A: 0.188 cycle_A: 1.470 idt_A: 0.641 D_B: 0.782 G_B: 0.497 cycle_B: 1.441 idt_B: 0.719 
(epoch: 40, iters: 200, time: 3.028, data: 0.002) D_A: 0.789 G_A: 2.946 cycle_A: 1.167 idt_A: 0.910 D_B: 0.353 G_B: 0.533 cycle_B: 1.571 idt_B: 0.533 
(epoch: 41, iters: 100, time: 0.295, data: 0.271) D_A: 1.067 G_A: 0.244 cycle_A: 2.421 idt_A: 0.887 D_B: 0.417 G_B: 1.020 cycle_B: 1.868 idt_B: 1.047 
(epoch: 41, iters: 200, time: 0.302, data: 0.002) D_A: 0.275 G_A: 1.532 cycle_A: 3.199 idt_A: 0.950 D_B: 0.345 G_B: 1.358 cycle_B: 1.704 idt_B: 1.417 
(epoch: 42, iters: 100, time: 0.304, data: 0.293) D_A: 0.307 G_A: 1.209 cycle_A: 2.012 idt_A: 0.673 D_B: 0.866 G_B: 1.309 cycle_B: 1.605 idt_B: 0.841 
(epoch: 42, iters: 200, time: 3.331, data: 0.002) D_A: 0.220 G_A: 0.246 cycle_A: 3.294 idt_A: 1.456 D_B: 0.455 G_B: 1.275 cycle_B: 2.948 idt_B: 1.056 
(epoch: 43, iters: 100, time: 0.305, data: 0.291) D_A: 0.438 G_A: 1.502 cycle_A: 3.582 idt_A: 0.947 D_B: 1.021 G_B: 0.495 cycle_B: 1.870 idt_B: 1.083 
(epoch: 43, iters: 200, time: 0.301, data: 0.002) D_A: 0.214 G_A: 0.933 cycle_A: 2.017 idt_A: 0.901 D_B: 0.461 G_B: 0.754 cycle_B: 1.650 idt_B: 0.982 
(epoch: 44, iters: 100, time: 0.305, data: 0.309) D_A: 0.411 G_A: 1.689 cycle_A: 1.916 idt_A: 0.686 D_B: 0.667 G_B: 1.184 cycle_B: 1.484 idt_B: 1.025 
(epoch: 44, iters: 200, time: 3.021, data: 0.002) D_A: 0.807 G_A: 1.605 cycle_A: 2.067 idt_A: 0.984 D_B: 0.457 G_B: 0.360 cycle_B: 1.584 idt_B: 1.045 
(epoch: 45, iters: 100, time: 0.304, data: 0.274) D_A: 0.641 G_A: 1.487 cycle_A: 2.195 idt_A: 0.715 D_B: 0.318 G_B: 0.653 cycle_B: 1.444 idt_B: 0.879 
(epoch: 45, iters: 200, time: 0.304, data: 0.002) D_A: 0.216 G_A: 1.416 cycle_A: 1.558 idt_A: 1.205 D_B: 0.456 G_B: 0.955 cycle_B: 2.197 idt_B: 0.740 
(epoch: 46, iters: 100, time: 0.307, data: 0.350) D_A: 0.207 G_A: 1.648 cycle_A: 2.440 idt_A: 0.936 D_B: 0.134 G_B: 1.189 cycle_B: 2.094 idt_B: 1.244 
(epoch: 46, iters: 200, time: 3.178, data: 0.002) D_A: 0.289 G_A: 1.349 cycle_A: 1.374 idt_A: 0.881 D_B: 0.345 G_B: 0.859 cycle_B: 1.841 idt_B: 0.624 
(epoch: 47, iters: 100, time: 0.305, data: 0.315) D_A: 0.619 G_A: 1.753 cycle_A: 1.443 idt_A: 1.350 D_B: 0.367 G_B: 0.663 cycle_B: 2.469 idt_B: 0.656 
(epoch: 47, iters: 200, time: 0.300, data: 0.002) D_A: 0.622 G_A: 1.471 cycle_A: 1.361 idt_A: 0.747 D_B: 0.531 G_B: 0.715 cycle_B: 1.271 idt_B: 0.624 
(epoch: 48, iters: 100, time: 0.307, data: 0.305) D_A: 0.197 G_A: 1.071 cycle_A: 1.504 idt_A: 0.721 D_B: 0.776 G_B: 0.369 cycle_B: 1.561 idt_B: 0.857 
(epoch: 48, iters: 200, time: 3.300, data: 0.002) D_A: 0.643 G_A: 1.312 cycle_A: 2.174 idt_A: 0.497 D_B: 0.652 G_B: 0.468 cycle_B: 1.211 idt_B: 0.981 
(epoch: 49, iters: 100, time: 0.310, data: 0.309) D_A: 0.369 G_A: 1.322 cycle_A: 1.733 idt_A: 0.680 D_B: 0.616 G_B: 0.704 cycle_B: 1.358 idt_B: 0.764 
(epoch: 49, iters: 200, time: 0.304, data: 0.002) D_A: 0.561 G_A: 0.856 cycle_A: 1.839 idt_A: 0.663 D_B: 0.266 G_B: 0.334 cycle_B: 1.871 idt_B: 0.979 
(epoch: 50, iters: 100, time: 0.307, data: 0.305) D_A: 0.407 G_A: 1.120 cycle_A: 1.736 idt_A: 0.592 D_B: 0.134 G_B: 0.913 cycle_B: 1.215 idt_B: 1.006 
(epoch: 50, iters: 200, time: 3.233, data: 0.003) D_A: 0.615 G_A: 0.589 cycle_A: 2.127 idt_A: 0.874 D_B: 0.825 G_B: 0.803 cycle_B: 1.957 idt_B: 1.044 
(epoch: 51, iters: 100, time: 0.299, data: 0.309) D_A: 0.559 G_A: 0.958 cycle_A: 1.732 idt_A: 1.676 D_B: 0.323 G_B: 0.446 cycle_B: 3.385 idt_B: 0.885 
(epoch: 51, iters: 200, time: 0.301, data: 0.002) D_A: 0.555 G_A: 0.687 cycle_A: 1.211 idt_A: 0.670 D_B: 0.390 G_B: 0.710 cycle_B: 1.611 idt_B: 0.735 
(epoch: 52, iters: 100, time: 0.302, data: 0.319) D_A: 0.814 G_A: 0.409 cycle_A: 2.491 idt_A: 0.848 D_B: 0.747 G_B: 0.378 cycle_B: 1.657 idt_B: 1.091 
(epoch: 52, iters: 200, time: 3.596, data: 0.002) D_A: 0.253 G_A: 2.866 cycle_A: 2.123 idt_A: 0.518 D_B: 0.154 G_B: 1.081 cycle_B: 1.036 idt_B: 1.055 
(epoch: 53, iters: 100, time: 0.305, data: 0.313) D_A: 0.796 G_A: 0.847 cycle_A: 1.266 idt_A: 0.622 D_B: 0.559 G_B: 0.918 cycle_B: 1.465 idt_B: 0.678 
(epoch: 53, iters: 200, time: 0.307, data: 0.002) D_A: 0.419 G_A: 1.338 cycle_A: 2.081 idt_A: 0.722 D_B: 0.326 G_B: 1.245 cycle_B: 1.491 idt_B: 0.953 
(epoch: 54, iters: 100, time: 0.300, data: 0.324) D_A: 1.042 G_A: 0.968 cycle_A: 2.155 idt_A: 0.837 D_B: 0.344 G_B: 1.082 cycle_B: 1.493 idt_B: 0.919 
(epoch: 54, iters: 200, time: 3.784, data: 0.003) D_A: 0.612 G_A: 1.048 cycle_A: 2.546 idt_A: 0.700 D_B: 0.912 G_B: 1.194 cycle_B: 2.472 idt_B: 1.244 
